Participant Tags,Average EDA Before Game,Time Game Started(s),Average EDA During Game,Percentage Change(before to during game)(%),Time Game Ended(s),Average EDA After Game,Percentage Change(during to after game)(%)
1646756026,0.16142825,132,0.2547405,57.804163769352634,308,0.3148032857142857,23.578027724011573
1647267334,1.152045,42,0.961859,-16.50855652339969,244,There is no peak in this time period,Not Applicable
1646231516,1.6002086000000002,205,1.015493,-36.53996110257126,425,There is no peak in this time period,Not Applicable
1646758277,0.379228,90,There is no peak in this time period,Not Applicable,278,2.566563,Not Applicable
1647268497,0.206269,35,There is no peak in this time period,Not Applicable,225,0.7807603888888889,Not Applicable
1646757051,4.196799142857143,81,5.233212857142857,24.695337541937555,255,5.26782,0.6612982082299155
1646754723,0.30171712500000003,166,0.20196842857142855,-33.060336375859166,357,0.21240078571428578,5.165340551811889
1646757757,0.4221225,92,0.46632,10.470301867348933,255,0.626458,34.34079601990049
1647265213,2.8124001666666665,102,3.8886657333333337,38.2685785409509,291,4.7906498,23.19520700725008
1646756620,0.2630683333333333,91,0.36406783333333337,38.3928763755932,275,0.40972020000000003,12.539522167801145
1647268069,5.0735985999999995,70,5.568664,9.757677716167782,262,2.90525825,-47.82845131255899
1646233411,0.959262,93,0.8454,-11.869749870212717,280,0.9812906666666666,16.074126646163545
1647267651,2.6695184000000003,59,2.8178020000000004,5.554694809370861,244,2.514039,-10.780139981446546
1647264808,0.2293305,72,0.22804950000000002,-0.5585824824870554,265,0.257517,12.921536771621941
1646232320,0.20626933333333333,210,0.16877818421052632,-18.175823093499282,411,0.26306833333333335,55.866313270199505
1646234438,0.28506200000000004,59,0.3194403333333333,12.059949531446943,249,There is no peak in this time period,Not Applicable
1646755454,0.483004,78,0.4204395,-12.953205356477374,270,0.7153268,70.13786763612838
1646230801,0.7164125,108,0.8537825714285715,19.17471727930089,307,0.8973733333333334,5.105604560634758
1647265691,0.756161,292,There is no peak in this time period,Not Applicable,484,There is no peak in this time period,Not Applicable
1647269598,0.170386,59,There is no peak in this time period,Not Applicable,243,1.031552,Not Applicable
1647268988,0.16142833333333334,204,0.21481066666666668,33.06875083886555,379,0.2639225,22.86284666186657
1646752964,0.6103630000000001,138,1.0570329,73.18102506213513,311,1.4600896666666667,38.13095757631258
